/out_cascode X,/out_cascode Y
-1,4.83189998161049
-0.96,4.82025693709033
-0.9199999999999999,4.807941165055991
-0.8799999999999999,4.794947305083149
-0.8399999999999999,4.7812641306479
-0.7999999999999998,4.766874516360077
-0.7599999999999998,4.751755031556844
-0.7199999999999998,4.735875256342871
-0.6799999999999997,4.719196778314158
-0.6399999999999997,4.701671792635573
-0.5999999999999996,4.683241180423559
-0.5599999999999996,4.663831870306123
-0.5199999999999996,4.643353178036296
-0.4799999999999996,4.621691636815894
-0.4399999999999996,4.598703513252213
-0.3999999999999996,4.574203618792391
-0.3599999999999997,4.547947881739526
-0.3199999999999997,4.519604749385031
-0.2799999999999997,4.488705094791267
-0.2399999999999997,4.454547105811639
-0.1999999999999997,4.415996703950921
-0.1599999999999997,4.371008953185657
-0.1199999999999997,4.31522296186162
-0.07999999999999965,4.23540584615301
-0.03999999999999965,4.055371839918726
0,3.331491569427711
0.04,2.024109104641013
0.08,1.299966202750081
0.12,1.090939588411017
0.16,0.9490269498991818
0.2,0.8377891311629306
0.24,0.7488017053532633
0.28,0.6771388811574444
0.32,0.619131920489092
0.36,0.5717046583841773
0.4,0.5324021158044911
0.4399999999999999,0.4993484334032933
0.4799999999999999,0.4711432889310956
0.5199999999999999,0.4467490140767026
0.5599999999999999,0.4253946823524868
0.6,0.4065028692667536
0.64,0.3896363751681024
0.68,0.3744602460943786
0.7200000000000001,0.3607148450455316
0.7600000000000001,0.3481967085483036
0.8000000000000002,0.3367448461076838
0.8400000000000002,0.326230852596547
0.8800000000000002,0.3165517136849348
0.9200000000000003,0.3076245384025134
0.9600000000000003,0.2993826965964324
1,0.2917730079671089
