/out X,/out YRe,/out YReImag
500000,803.3810209725181,-1934.010813307655
590216.3066930906,606.1283455853835,-1706.007807176036
696710.5773728647,454.2501939744295,-1489.439249028383
822419.8876220458,339.4223436633571,-1290.198430067405
970811.2572464609,253.7963160149,-1111.081505791429
1145977.269496164,190.5983424979543,-952.7268951336308
1352748.943112517,144.3033611050355,-814.4175622159927
1596828.970173703,110.5724417858156,-694.6794547149071
1884948.994392908,86.0856433956383,-591.6885867548563
2225055.267550875,68.34791966513269,-503.5279262036282
2626527.804403767,55.50692346488067,-428.3377059055049
3100439.080283807,46.19815974855771,-364.3950686642044
3659859.406184062,39.42054947047874,-310.1492467874714
4320217.40346785,34.4398151821854,-264.2300332763523
5099725.519972015,30.71514593823018,-225.4409510330102
6019882.323092767,27.84449499869309,-192.7441205646383
7106065.42292567,25.52459280051194,-165.2409593209497
8388231.378077326,23.52279336520234,-142.1511537922122
9901741.887311786,21.65890536453171,-122.7915981341182
11688339.05311487,19.79588605463106,-106.5570484409407
13797296.61461215,17.83827752649211,-92.90486435017027
16286778.90045092,15.73611354014492,-81.34677131761644
19225444.9811022,13.48981932964133,-71.44990541284436
22694342.26255471,11.14974850713878,-62.84638156630279
26789141.74606792,8.804982581242131,-55.24580446679981
31622776.60168379,6.561273485052642,-48.44181595726818
37328556.82645298,4.514951339485792,-42.30579813712939
44063845.88858446,2.73271280947676,-36.76796433559895
52014400.75810768,1.243666848471036,-31.79289073446159
61399495.02060921,0.04312341058172515,-27.35799937642927
72477966.36776955,-0.8971485917674626,-23.439853894305
85555355.25242196,-1.617893147282246,-20.00837616498443
100992331.5897996,-2.163990329606683,-17.02633637717502
119214641.9105109,-2.579651843788612,-14.45107182312518
140724851.3043222,-2.906651810401548,-12.23619120105054
166116203.9935427,-3.184668216172255,-10.33181270627691
196088984.8058896,-3.45289001058163,-8.681795884799154
231469832.7906594,-3.7512446960714,-7.214549941508168
273234539.6411405,-4.113226378742118,-5.819313807521989
322534961.6959615,-4.511712527249232,-4.300439033506756
380730787.7431757,-4.643487946081049,-2.408215926604399
449427038.7722563,-3.797614648160408,-0.4612484490474619
530518333.904347,-2.270273821062429,0.374227013659525
626241143.339991,-1.270792075333068,0.2984001118609386
739235469.4427756,-0.8409432934343194,0.1164911374976212
872617657.1020961,-0.6558458419359634,0.03949213573149465
1030066341.459954,-0.5487714462477887,0.04507008081033434
1215923903.410716,-0.4574960951992633,0.08894899179134798
1435316230.981838,-0.3624497796504654,0.1382772498195712
1694294089.573494,-0.2634760372986331,0.1717500037155031
2000000000,-0.170582185947359,0.1799010483578573
