out_db X,out_db Y,out_cascode_db X,out_cascode_db Y
500000,26.84665442488885,500000,36.62187395010461
590216.3066930906,26.83686542529933,590216.3066930906,36.61348505691998
696710.5773728647,26.82326451033066,696710.5773728647,36.6018336654521
822419.8876220458,26.8043884628514,822419.8876220458,36.58567138300579
970811.2572464609,26.77823187782552,970811.2572464609,36.56329090180241
1145977.269496164,26.74206393677722,1145977.269496164,36.53237437502841
1352748.943112517,26.69219909860148,1352748.943112517,36.48980706911065
1596828.970173703,26.62372441501781,1596828.970173703,36.43146249163195
1884948.994392908,26.53020145678766,1884948.994392908,36.3519809778813
2225055.267550875,26.40338820087103,2225055.267550875,36.24459105761202
2626527.804403767,26.23306789588855,2626527.804403767,36.10106327500014
3100439.080283807,26.00712253124199,3100439.080283807,35.91193276822884
3659859.406184062,25.71202579387539,3659859.406184062,35.66715531570819
4320217.40346785,25.33390816929659,4320217.40346785,35.35732248509615
5099725.519972015,24.86020783051774,5099725.519972015,34.97539453120175
6019882.323092767,24.2816487974575,6019882.323092767,34.51859811631324
7106065.42292567,23.59398207927038,7106065.42292567,33.98978826969235
8388231.378077326,22.7988085513471,8388231.378077326,33.39744036286887
9901741.887311786,21.9030647576473,9901741.887311786,32.75376017310271
11688339.05311487,20.91732674544366,11688339.05311487,32.07116643499338
13797296.61461215,19.85362044705908,13797296.61461215,31.35825712172506
16286778.90045092,18.7235606892082,16286778.90045092,30.6168189719516
19225444.9811022,17.5373164621256,19225444.9811022,29.84115046506187
22694342.26255471,16.30339271424246,22694342.26255471,29.02000953943747
26789141.74606792,15.02888407288031,26789141.74606792,28.14035112866268
31622776.60168379,13.71983549459357,31622776.60168379,27.19131304011634
37328556.82645298,12.38150981118588,37328556.82645298,26.16699686470107
44063845.88858446,11.018516926526,44063845.88858446,25.06733464003128
52014400.75810768,9.634830476856397,52014400.75810768,23.89723567315245
61399495.02060921,8.233735723798414,61399495.02060921,22.66477779670766
72477966.36776955,6.817751364807126,72477966.36776955,21.37926379953117
85555355.25242196,5.388556134547838,85555355.25242196,20.04967142507144
100992331.5897996,3.946933662230214,100992331.5897996,18.68366894229666
119214641.9105109,2.492736361095647,119214641.9105109,17.28713131964954
140724851.3043222,1.024868458680425,140724851.3043222,15.86400609989428
166116203.9935427,-0.4587003244714857,166116203.9935427,14.41639200435868
196088984.8058896,-1.960860806243771,196088984.8058896,12.94474567267942
231469832.7906594,-3.485185102147435,231469832.7906594,11.44817951996164
273234539.6411405,-5.035598854678704,273234539.6411405,9.924829773621772
322534961.6959615,-6.61589530643795,322534961.6959615,8.37224500184251
380730787.7431757,-8.229146299973543,380730787.7431757,6.787684835693103
449427038.7722563,-9.87712439586711,449427038.7722563,5.168186199545817
530518333.904347,-11.55984464985452,530518333.904347,3.510339459641115
626241143.339991,-13.27525688935116,626241143.339991,1.809936792217294
739235469.4427756,-15.01907152114867,739235469.4427756,0.06184127757605331
872617657.1020961,-16.78479101439087,872617657.1020961,-1.739706276758476
1030066341.459954,-18.56415371314136,1030066341.459954,-3.600644364941696
1215923903.410716,-20.34807609462049,1215923903.410716,-5.527221821215876
1435316230.981838,-22.12754764816232,1435316230.981838,-7.526727777264892
1694294089.573494,-23.89304212289766,1694294089.573494,-9.606793316132677
2000000000,-25.63131753720044,2000000000,-11.77040214139342
