/out_cascode X,/out_cascode YRe,/out_cascode YReImag
500000,-56.91795086458556,0.5454714382089847
590216.3066930906,-56.91589289513652,0.643865775591659
696710.5773728647,-56.91302570602353,0.7599965850231976
822419.8876220458,-56.90903133629185,0.8970531099842346
970811.2572464609,-56.90346711065987,1.058792968838305
1145977.269496164,-56.89571692804591,1.249640177050523
1352748.943112517,-56.88492371508897,1.474797968403466
1596828.970173703,-56.86989593776279,1.740377267104917
1884948.994392908,-56.84897854254456,2.053540698192659
2225055.267550875,-56.81987542517646,2.422660230076457
2626527.804403767,-56.77940640184914,2.857483425075543
3100439.080283807,-56.72317669180606,3.369298105641557
3659859.406184062,-56.64513134311819,3.97107701064933
4320217.40346785,-56.53696147402325,4.677571374731728
5099725.519972015,-56.3873249050179,5.505303628353116
6019882.323092767,-56.18084283073065,6.472382494718719
7106065.42292567,-55.89684003939352,7.598025799321987
8388231.378077326,-55.50781499992911,8.901622773442707
9901741.887311786,-54.97767142874297,10.40109161862307
11688339.05311487,-54.25984588909334,12.11018481552912
13797296.61461215,-53.29568747788153,14.03428286506419
16286778.90045092,-52.0138670012619,16.16418782114325
19225444.9811022,-50.33224210904493,18.46769930790786
22694342.26255471,-48.16429843884066,20.87965584438166
26789141.74606792,-45.43245756790118,23.29289774671618
31622776.60168379,-42.08922830412955,25.5549935367055
37328556.82645298,-38.14347323061744,27.47725020362534
44063845.88858446,-33.68336317937084,28.86098585969768
52014400.75810768,-28.88316520334857,29.53908397330846
61399495.02060921,-23.98341913384782,29.42016352668501
72477966.36776955,-19.24592580502697,28.51592260836592
85555355.25242196,-14.89991760203954,26.93755349782142
100992331.5897996,-11.10156818453661,24.86316729730181
119214641.9105109,-7.920301259995988,22.49264534960809
140724851.3043222,-5.350104314542095,20.00866019402635
166116203.9935427,-3.334119768288487,17.55415112665191
196088984.8058896,-1.790347148154861,15.22627339175942
231469832.7906594,-0.6313998912155223,13.08120542999441
273234539.6411405,0.2234199051150534,11.14363789826932
322534961.6959615,0.8424226938172645,9.416719159439896
380730787.7431757,1.280021139600396,7.890436513727562
449427038.7722563,1.577506448456207,6.547919748068059
530518333.904347,1.764853613856832,5.369904287567898
626241143.339991,1.862904744249327,4.337826200139146
739235469.4427756,1.88573110211911,3.43595868169208
872617657.1020961,1.843239846370864,2.652748396954719
1030066341.459954,1.744082469152706,1.981136001542851
1215923903.410716,1.598483329668777,1.417370809563968
1435316230.981838,1.419856825249233,0.9581905482493147
1694294089.573494,1.223956280701158,0.5975447220155912
2000000000,1.025861980727591,0.3250869499701619
