/inm X,/inm Y,/inp X,/inp Y,/pout2 X,/pout2 Y,/pout1 X,/pout1 Y,/CLK X,/CLK Y,/M0/S X,/M0/S Y
0,3.9,0,4,0,1.423692806296786,0,1.662458125924891,0,0,0,5.908786887400438e-05
3.6e-11,3.9,3.6e-11,4,3.6e-11,1.423694365768848,3.6e-11,1.662458024413409,3.6e-11,0,3.6e-11,5.908786107446208e-05
1.08e-10,3.9,1.08e-10,4,1.08e-10,1.423695478661626,1.08e-10,1.6624571898014,1.08e-10,0,1.08e-10,5.908786746407012e-05
2.52e-10,3.9,2.52e-10,4,2.52e-10,1.42369757656518,2.52e-10,1.662454742913456,2.52e-10,0,2.52e-10,5.908787620103446e-05
5.399999999999999e-10,3.9,5.399999999999999e-10,4,5.399999999999999e-10,1.423720644023896,5.399999999999999e-10,1.662434134974408,5.399999999999999e-10,0,5.399999999999999e-10,5.90879312914754e-05
1.116e-09,3.9,1.116e-09,4,1.116e-09,1.423545365777969,1.116e-09,1.662584718469095,1.116e-09,0,1.116e-09,5.908751554603693e-05
1.666666666666667e-09,3.9,1.666666666666667e-09,4,1.666666666666667e-09,1.424573901352523,1.666666666666667e-09,1.661702015717767,1.666666666666667e-09,0,1.666666666666667e-09,5.908995711687971e-05
1.697916666666667e-09,3.9,1.697916666666667e-09,3.9875,1.697916666666667e-09,1.425672572073866,1.697916666666667e-09,1.661581126337285,1.697916666666667e-09,0,1.697916666666667e-09,5.909013018664288e-05
1.760416666666666e-09,3.9,1.760416666666666e-09,3.9625,1.760416666666666e-09,1.43316072415056,1.760416666666666e-09,1.66154027536548,1.760416666666666e-09,0,1.760416666666666e-09,5.9088635565847e-05
1.882457762085438e-09,3.9,1.882457762085438e-09,3.913683561832491,1.882457762085438e-09,1.462879311735245,1.882457762085438e-09,1.671125408936836,1.882457762085438e-09,0,1.882457762085438e-09,5.904165139766479e-05
1.995682082357519e-09,3.9,1.995682082357519e-09,3.868393833723659,1.995682082357519e-09,1.482828992341561,1.995682082357519e-09,1.71245476003388,1.995682082357519e-09,0,1.995682082357519e-09,5.888376109391255e-05
2.081174374512093e-09,3.9,2.081174374512093e-09,3.83419691686183,2.081174374512093e-09,1.470094225693173,2.081174374512093e-09,1.783283748183559,2.081174374512093e-09,0,2.081174374512093e-09,5.864305167785259e-05
