/M9/S (temp=-20) X,/M9/S (temp=-20) Y,/M9/S (temp=5) X,/M9/S (temp=5) Y,/M9/S (temp=30) X,/M9/S (temp=30) Y,/M9/S (temp=55) X,/M9/S (temp=55) Y,/M9/S (temp=80) X,/M9/S (temp=80) Y
0,2.666160464816392e-05,0,2.677734262194705e-05,0,2.686340957359088e-05,0,2.692124223279386e-05,0,2.69520286736469e-05
0.1,2.665536273708805e-05,0.1,2.677050723610388e-05,0.1,2.685601056794002e-05,0.1,2.691332021404674e-05,0.1,2.69436321806777e-05
0.2,2.664887199798093e-05,0.2,2.676339878585099e-05,0.2,2.684831602813035e-05,0.2,2.690508220700332e-05,0.2,2.693490140227945e-05
0.3,2.664211646063898e-05,0.3,2.67559998925373e-05,0.3,2.684030729192122e-05,0.3,2.689650839793691e-05,0.3,2.69258155057574e-05
0.4,2.663507875433543e-05,0.4,2.674829166544591e-05,0.4,2.683196408510689e-05,0.4,2.688757727282219e-05,0.4,2.691635188072157e-05
0.5,2.662773995038154e-05,0.5,2.674025353302528e-05,0.5,2.68232643427847e-05,0.5,2.687826542992384e-05,0.5,2.690648594413146e-05
0.6,2.662007938287932e-05,0.6,2.673186305090637e-05,0.6,2.681418400617536e-05,0.6,2.686854736684575e-05,0.6,2.689619091883928e-05
0.7,2.661207444407119e-05,0.7,2.672309568288268e-05,0.7,2.680469679098102e-05,0.7,2.685839523790772e-05,0.7,2.688543758143262e-05
0.7999999999999999,2.6603700349951e-05,0.7999999999999999,2.671392455024999e-05,0.7999999999999999,2.679477392248955e-05,0.7999999999999999,2.684777857686943e-05,0.7999999999999999,2.687419397418716e-05
0.8999999999999999,2.659492987096165e-05,0.8999999999999999,2.670432014405717e-05,0.8999999999999999,2.678438383168353e-05,0.8999999999999999,2.683666397900339e-05,0.8999999999999999,2.686242507495866e-05
0.9999999999999999,2.658573302151085e-05,0.9999999999999999,2.66942499936367e-05,0.9999999999999999,2.677349180544257e-05,0.9999999999999999,2.682501473539722e-05,0.9999999999999999,2.68500924176361e-05
1.1,2.657607670078462e-05,1.1,2.668367828344192e-05,1.1,2.676205958248219e-05,1.1,2.681279041075464e-05,1.1,2.683715365419725e-05
1.2,2.656592427560541e-05,1.2,2.667256540845965e-05,1.2,2.675004488487272e-05,1.2,2.679994635420049e-05,1.2,2.682356204745704e-05
1.3,2.655523509412431e-05,1.3,2.66608674563415e-05,1.3,2.673740087273439e-05,1.3,2.678643313019936e-05,1.3,2.680926588130881e-05
1.4,2.65439639164923e-05,1.4,2.664853560165086e-05,1.4,2.672407550687241e-05,1.4,2.677219585378775e-05,1.4,2.679420777203781e-05
1.5,2.653206024542197e-05,1.5,2.663551539422303e-05,1.5,2.671001080053374e-05,1.5,2.675717341062339e-05,1.5,2.677832386066484e-05
1.6,2.651946753537109e-05,1.6,2.662174591921802e-05,1.6,2.669514193689575e-05,1.6,2.674129753756006e-05,1.6,2.676154286122417e-05
1.7,2.650612225372211e-05,1.7,2.660715880083209e-05,1.7,2.667939622302856e-05,1.7,2.672449173344045e-05,1.7,2.674378493365022e-05
1.8,2.649195276040905e-05,1.8,2.659167701436537e-05,1.8,2.666269184347483e-05,1.8,2.670666996185648e-05,1.8,2.67249603417809e-05
1.900000000000001,2.647687796341532e-05,1.900000000000001,2.657521346181293e-05,1.900000000000001,2.664493636667994e-05,1.900000000000001,2.66877350973519e-05,1.900000000000001,2.670496784632129e-05
2,2.646080569567837e-05,2,2.655766925368903e-05,2,2.662602494445274e-05,2,2.666757705297484e-05,2,2.668369276848499e-05
2.100000000000001,2.644363074317158e-05,2.100000000000001,2.653893162318981e-05,2.100000000000001,2.660583812729956e-05,2.100000000000001,2.664607050902346e-05,2.100000000000001,2.666100464136308e-05
2.200000000000001,2.642523243279043e-05,2.200000000000001,2.651887137652785e-05,2.200000000000001,2.658423919519728e-05,2.200000000000001,2.662307213856787e-05,2.200000000000001,2.66367543407325e-05
2.300000000000001,2.640547166009926e-05,2.300000000000001,2.649733975318382e-05,2.300000000000001,2.65610708717901e-05,2.300000000000001,2.65984171923439e-05,2.300000000000001,2.661077055265802e-05
2.400000000000001,2.638418719779621e-05,2.400000000000001,2.647416452847873e-05,2.400000000000001,2.653615124664534e-05,2.400000000000001,2.657191526024667e-05,2.400000000000001,2.658285538780002e-05
2.500000000000001,2.636119107150975e-05,2.500000000000001,2.644914513355723e-05,2.500000000000001,2.650926866994246e-05,2.500000000000001,2.654334496342693e-05,2.500000000000001,2.655277888605139e-05
2.600000000000001,2.633626271341796e-05,2.600000000000001,2.642204648731437e-05,2.600000000000001,2.648017529905262e-05,2.600000000000001,2.651244724166125e-05,2.600000000000001,2.652027206122765e-05
2.700000000000001,2.630914149579292e-05,2.700000000000001,2.63925911199182e-05,2.700000000000001,2.644857885503721e-05,2.700000000000001,2.647891677248854e-05,2.700000000000001,2.6485018000158e-05
2.800000000000001,2.627951709006138e-05,2.800000000000001,2.636044900109272e-05,2.800000000000001,2.641413197062569e-05,2.800000000000001,2.644239087166311e-05,2.800000000000001,2.644664033252791e-05
2.900000000000001,2.624701686703508e-05,2.900000000000001,2.632522424119527e-05,2.900000000000001,2.637641825027622e-05,2.900000000000001,2.640243494678753e-05,2.900000000000001,2.640468809213666e-05
3.000000000000001,2.621118921013613e-05,3.000000000000001,2.628643746507416e-05,3.000000000000001,2.633493376955285e-05,3.000000000000001,2.63585231554688e-05,3.000000000000001,2.63586155402848e-05
3.100000000000001,2.617148108916013e-05,3.100000000000001,2.624350209510995e-05,3.100000000000001,2.628906213561774e-05,3.100000000000001,2.631001226842651e-05,3.100000000000001,2.630775482165055e-05
3.200000000000002,2.612720742504047e-05,3.200000000000002,2.619569189720027e-05,3.200000000000002,2.623804027700963e-05,3.200000000000002,2.625610570677544e-05,3.200000000000002,2.625127820649157e-05
