/M11/S X,/M11/S Y
4.5,2.166141017315319e-05
4.51,2.17065137981555e-05
4.52,2.17518200570469e-05
4.529999999999999,2.179732302039139e-05
4.539999999999999,2.184301700231368e-05
4.549999999999999,2.188889654892636e-05
4.559999999999999,2.193495642500349e-05
4.569999999999999,2.198119160177654e-05
4.579999999999998,2.202759724571387e-05
4.589999999999998,2.207416870811138e-05
4.599999999999998,2.21209015154259e-05
4.609999999999998,2.216779136016414e-05
4.619999999999997,2.221483409232988e-05
4.629999999999997,2.226202571136038e-05
4.639999999999997,2.230936235857186e-05
4.649999999999997,2.235684031006295e-05
4.659999999999997,2.240445597011423e-05
4.669999999999996,2.245220586500216e-05
4.679999999999996,2.250008663725874e-05
4.689999999999996,2.254809504030546e-05
4.699999999999996,2.259622793345318e-05
4.709999999999996,2.264448227722596e-05
4.719999999999995,2.26928551290171e-05
4.729999999999995,2.274134363898992e-05
4.739999999999995,2.27899450462716e-05
4.749999999999995,2.283865667537424e-05
4.759999999999994,2.288747593283347e-05
4.769999999999994,2.293640030405892e-05
4.779999999999994,2.298542735038298e-05
4.789999999999994,2.303455470627095e-05
4.799999999999994,2.308378007670721e-05
4.809999999999993,2.313310123472185e-05
4.819999999999993,2.318251601908445e-05
4.829999999999993,2.323202233210021e-05
4.839999999999993,2.328161813755628e-05
4.849999999999993,2.333130145876053e-05
4.859999999999992,2.338107037670807e-05
4.869999999999992,2.343092302834247e-05
4.879999999999992,2.348085760490806e-05
4.889999999999992,2.35308723503919e-05
4.899999999999991,2.358096556006159e-05
4.909999999999991,2.363113557906186e-05
4.919999999999991,2.368138080109979e-05
4.929999999999991,2.373169966719557e-05
4.939999999999991,2.37820906645008e-05
4.94999999999999,2.38325523251735e-05
4.95999999999999,2.388308322531048e-05
4.96999999999999,2.393368198395311e-05
4.97999999999999,2.398434726211681e-05
4.98999999999999,2.403507776188874e-05
5,2.408587222557432e-05
