/M11/S X,/M11/S Y
4.5,2.332588386952608e-05
4.51,2.337358760996841e-05
4.52,2.342171967723543e-05
4.529999999999999,2.347008072955958e-05
4.539999999999999,2.351866407284628e-05
4.549999999999999,2.356746328980871e-05
4.559999999999999,2.361647222405756e-05
4.569999999999999,2.366568496537205e-05
4.579999999999998,2.371509583602127e-05
4.589999999999998,2.376469937794869e-05
4.599999999999998,2.381449034080267e-05
4.609999999999998,2.386446367073105e-05
4.619999999999997,2.391461449990653e-05
4.629999999999997,2.396493813678056e-05
4.639999999999997,2.401543005697675e-05
4.649999999999997,2.406608589483213e-05
4.659999999999997,2.411690143552412e-05
4.669999999999996,2.416787260772464e-05
4.679999999999996,2.42189954767793e-05
4.689999999999996,2.42702662383278e-05
4.699999999999996,2.432168121236448e-05
4.709999999999996,2.437323683767222e-05
4.719999999999995,2.442492966664709e-05
4.729999999999995,2.447675636042011e-05
4.739999999999995,2.452871368432337e-05
4.749999999999995,2.458079850359891e-05
4.759999999999994,2.463300777941614e-05
4.769999999999994,2.468533856510369e-05
4.779999999999994,2.473778800260704e-05
4.789999999999994,2.479035331917292e-05
4.799999999999994,2.484303182421607e-05
4.809999999999993,2.489582090637799e-05
4.819999999999993,2.49487180307357e-05
4.829999999999993,2.500172073619223e-05
4.839999999999993,2.505482663299877e-05
4.849999999999993,2.510803340041581e-05
4.859999999999992,2.516133878451303e-05
4.869999999999992,2.521474059606905e-05
4.879999999999992,2.526823670860947e-05
4.889999999999992,2.532182505653048e-05
4.899999999999991,2.537550363333031e-05
4.909999999999991,2.542927048992773e-05
4.919999999999991,2.548312373307732e-05
4.929999999999991,2.553706152386744e-05
4.939999999999991,2.559108207627447e-05
4.94999999999999,2.564518365582024e-05
4.95999999999999,2.569936457827732e-05
4.96999999999999,2.575362320845506e-05
4.97999999999999,2.580795795902789e-05
4.98999999999999,2.586236728944252e-05
5,2.591684970486671e-05
