/M11/S X,/M11/S Y
4.5,2.523343033783886e-05
4.51,2.528403701857278e-05
4.52,2.533522986754208e-05
4.529999999999999,2.53866922797579e-05
4.539999999999999,2.543841627257296e-05
4.549999999999999,2.549039419955354e-05
4.559999999999999,2.554261873062902e-05
4.569999999999999,2.559508283365708e-05
4.579999999999998,2.564777975723373e-05
4.589999999999998,2.570070301469496e-05
4.599999999999998,2.575384636926282e-05
4.609999999999998,2.580720382023104e-05
4.619999999999997,2.586076959011607e-05
4.629999999999997,2.591453811275914e-05
4.639999999999997,2.596850402224832e-05
4.649999999999997,2.602266214262661e-05
4.659999999999997,2.607700747833762e-05
4.669999999999996,2.613153520529893e-05
4.679999999999996,2.618624066262136e-05
4.689999999999996,2.624111934485919e-05
4.699999999999996,2.629616689480204e-05
4.709999999999996,2.635137909671531e-05
4.719999999999995,2.640675187004943e-05
4.729999999999995,2.646228126352444e-05
4.739999999999995,2.651796344961249e-05
4.749999999999995,2.657379471935203e-05
4.759999999999994,2.662977147748889e-05
4.769999999999994,2.668589023790544e-05
4.779999999999994,2.674214761933926e-05
4.789999999999994,2.679854034134464e-05
4.799999999999994,2.685506522048467e-05
4.809999999999993,2.691171916677257e-05
4.819999999999993,2.69684991802775e-05
4.829999999999993,2.702540234796247e-05
4.839999999999993,2.708242584066396e-05
4.849999999999993,2.713956691026246e-05
4.859999999999992,2.719682288700025e-05
4.869999999999992,2.725419117693928e-05
4.879999999999992,2.731166925956139e-05
4.889999999999992,2.736925468549414e-05
4.899999999999991,2.742694507436034e-05
4.909999999999991,2.748473811271953e-05
4.919999999999991,2.754263155215187e-05
4.929999999999991,2.760062320739948e-05
4.939999999999991,2.765871095463514e-05
4.94999999999999,2.771689272979748e-05
4.95999999999999,2.777516652701157e-05
4.96999999999999,2.783353039710585e-05
4.97999999999999,2.789198244617978e-05
4.98999999999999,2.795052083424594e-05
5,2.800914377396373e-05
